d,n,p,g,n7,n7g,n7g6
2021-01-22,1454,8932664,370659,1515,0.997920078423846,0.991743199084929
2021-01-23,1263,8932664,372057,1506.57142857143,0.991298973970946,0.991120281387368
2021-01-24,947,8932664,373352,1497.42857142857,0.989417018938952,0.98953850287147
2021-01-25,1427,8932664,374931,1468.42857142857,0.985748253811953,0.988809360909203
2021-01-26,1583,8932664,376470,1458,0.979477467863675,0.987073107372622
2021-01-27,1471,8932664,377935,1419.42857142857,0.97808066819558,0.986437113123983
2021-01-28,1422,8932664,379541,1366.71428571429,0.981175266829415,0.988006089803445
2021-01-29,1486,8932664,381245,1371.28571428571,0.992290396462631,0.989834588105534
2021-01-30,1099,8932664,382784,1347.85714285714,0.99765467428923,0.991568124812546
2021-01-31,1133,8932664,384193,1374.42857142857,0.997309239789582,0.993271469420402
2021-02-01,1217,8932664,385720,1344.42857142857,0.998769749441944,0.9942117316585
2021-02-02,1641,8932664,387231,1352.71428571429,0.997347452136314,0.995420608924508
2021-02-03,1519,8932664,388519,1359.57142857143,0.995199238042493,0.995268541853457
2021-02-04,1269,8932664,389886,1337.71428571429,0.992031745523793,0.994834580851101
2021-02-05,1366,8932664,391427,1320.57142857143,0.992308195852254,0.995934851084858
2021-02-06,1147,8932664,392764,1327.42857142857,0.995023459315314,0.996562315963127
2021-02-07,999,8932664,393824,1308.28571428571,0.993460963244879,0.997939662346475
2021-02-08,1232,8932664,395160,1310.42857142857,0.994609516523687,0.999529221222461
2021-02-09,1470,8932664,396411,1286,1.00485413170165,1.0023516394189
2021-02-10,1668,8932664,397772,1307.28571428571,1.01126278431556,1.00581432483901
2021-02-11,1564,8932664,399188,1349.42857142857,1.01021988825046,1.00828818034243
2021-02-12,1268,8932664,400610,1335.42857142857,1.00563806922957,1.0103034292989
2021-02-13,1171,8932664,401949,1338.85714285714,1.00982182200228,1.01457333460982
2021-02-14,1168,8932664,403067,1363,1.019015274909,1.01904672864568
2021-02-15,1500,8932664,404388,1401.28571428571,1.02255055484406,1.02246547258522
